state,counties,city,price,type,beds,baths,sqfeet,latlong
ca,sacramento,rio linda,1579,apartment,2,2,803,"(38.6406, -121.444)"
ca,sacramento,grass valley,945,apartment,1,1,1200,"(39.1193, -121.094)"
ca,sacramento,rosemont,300,apartment,1,1,680,"(38.578, -121.415)"
ca,sacramento,west sacramento,1999,apartment,2,2,1136,"(38.4911, -121.519)"
ca,sacramento,sacramento,4300,apartment,2,2,1522,"(38.5714, -121.488)"
ca,sacramento,davis,1930,apartment,2,2,840,"(38.5433, -121.714)"
ca,sacramento,rocklin,1590,apartment,2,2,1101,"(38.8136, -121.268)"
ca,sacramento,fair oaks,1699,apartment,2,1,860,"(38.6698, -121.269)"
ca,sacramento,florin,2265,apartment,3,2,1232,"(38.4249, -121.473)"
ca,sacramento,florin,1204,apartment,2,1,750,"(38.4743, -121.441)"
ca,sacramento,north highlands,1435,apartment,2,1,745,"(38.697, -121.363)"
ca,sacramento,roseville,1399,apartment,1,1,714,"(38.8172, -121.308)"
ca,sacramento,rocklin,1772,apartment,2,2,1042,"(38.7996, -121.268)"
ca,sacramento,rocklin,1440,apartment,2,2,877,"(38.8136, -121.268)"
ca,sacramento,rio linda,1642,apartment,2,2,835,"(38.6471, -121.457)"
ca,sacramento,sacramento,1659,apartment,0,1,432,"(38.5689, -121.488)"
ca,sacramento,west sacramento,1735,apartment,2,1,912,"(38.4962, -121.53)"
ca,sacramento,roseville,1899,apartment,3,2,1170,"(38.7609, -121.287)"
ca,sacramento,fair oaks,1381,apartment,1,1,616,"(38.6554, -121.261)"
ca,sacramento,rancho cordova,1435,apartment,1,1,790,"(38.5774, -121.304)"
ca,sacramento,north highlands,1700,apartment,2,2,978,"(38.7159, -121.365)"
ca,sacramento,foothill farms,1265,apartment,2,1,828,"(38.6865, -121.349)"
ca,sacramento,woodland,1799,duplex,2,2,960,"(38.6889, -121.784)"
ca,sacramento,north highlands,1435,apartment,2,1,745,"(38.697, -121.363)"
ca,sacramento,west sacramento,1765,apartment,2,2,1060,"(38.6543, -121.54)"
ca,sacramento,roseville,1670,apartment,2,2,1040,"(38.7603, -121.298)"
